HiC_scaffold_1	contig800	+	5070900
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig802	+	982400
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig1891	-	1130000
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig2238	-	1390600
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig995	+	4737200
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig2909	+	153100
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig1689	-	2859000
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig595	-	4739100
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig593	-	1359100
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig591	-	1602600
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig583	-	1859600
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig581	-	234800
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig1034	+	2321200
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig1036	+	1573600
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig1038	+	531700
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig1851	-	1784425
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig557:::fragment_1	+	4472667
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig786:::fragment_2	-	5257000
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig1878:::fragment_2	+	851162
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig571	+	2104705
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig1464	+	3751435
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig2224	+	802100
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig2226	+	622565
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig1216	+	4728300
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig1434:::fragment_2	-	957733
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig1607:::fragment_2	+	3212420
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig2385	-	1088378
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig2812	+	258700
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig1716	-	2787946
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig1550	+	1948200
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig1552	-	140000
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig2367	-	1191100
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	contig2684	+	474940
HiC_scaffold_1	hic_gap_1848	+	500
HiC_scaffold_1	hic_gap_1843	+	500
